code,domain,short,n,mean,sd,pct_disagree,pct_neutral,pct_agree,consensus,n_SD,n_D,n_N,n_A,n_SA
S15,S,Public trust in tech,86,1.244186046511628,0.8668543063911558,3.488372093023256,10.465116279069768,86.04651162790698,0.7024851548787945,2,1,9,36,38
V01,V,Urgent climate action,85,1.5176470588235293,0.6289023829521664,0.0,7.0588235294117645,92.94117647058823,0.7741481985139207,0,0,6,29,50
V02,V,Renewables > fossil,85,1.4352941176470588,0.7310634592924237,1.1764705882352942,7.0588235294117645,91.76470588235294,0.7401098359681564,1,0,6,32,46
V03,V,Cut personal energy use,86,0.9651162790697675,0.9260628160450489,6.976744186046512,19.767441860465116,73.25581395348837,0.7009950031104073,1,5,17,36,27
V04,V,Promote public transport,86,1.3837209302325582,0.7222286529113776,1.1627906976744187,10.465116279069768,88.37209302325581,0.7430625886213975,0,1,9,32,44
V05,V,Restrict single-use plastic,86,1.372093023255814,0.7977396247472786,3.488372093023256,5.813953488372093,90.69767441860465,0.7218052889037497,1,2,5,34,44
V06,V,Water conservation,84,1.5119047619047619,0.5909772918607984,0.0,4.761904761904762,95.23809523809523,0.7847213451256478,0,0,4,33,47
V07,V,Biodiversity essential,85,1.4941176470588236,0.6835399701234028,2.3529411764705883,3.5294117647058822,94.11764705882352,0.76119718050044,0,2,3,31,49
V08,V,Green campus despite cost,85,1.2941176470588236,0.7371684793497202,2.3529411764705883,9.411764705882353,88.23529411764706,0.7468104157830655,0,2,8,38,37
V09,V,Design for reuse/repair,85,1.6,0.7104659772022196,3.5294117647058822,2.3529411764705883,94.11764705882352,0.765769370041681,0,3,2,21,59
V10,V,Eco-conscious buying,85,1.035294117647059,0.8652973453087206,3.5294117647058822,21.176470588235293,75.29411764705883,0.7236459401795066,1,2,18,36,28
V11,V,Tech solves environment,84,1.3214285714285714,0.6969937906711071,1.1904761904761905,9.523809523809524,89.28571428571429,0.7571812019853024,0,1,8,38,37
V12,V,Sustainability in curricula,84,1.119047619047619,0.9236486306414518,5.952380952380952,11.904761904761903,82.14285714285714,0.6968654237008044,2,3,10,37,32
V13,V,Corporate eco-accountability,85,1.6705882352941177,0.564594993781207,1.1764705882352942,1.1764705882352942,97.6470588235294,0.8129715144430394,0,1,1,23,60
V14,V,International cooperation,85,1.5529411764705883,0.6456057021813513,1.1764705882352942,4.705882352941177,94.11764705882352,0.7745874124685745,0,1,4,27,53
V15,V,Duty to future generations,85,1.5058823529411764,0.6291250426804921,1.1764705882352942,3.5294117647058822,95.29411764705881,0.7760804287925429,0,1,3,33,48
